class_name,component_class_name,diagram_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Voltage_Source,,6,edge:6:diagram_to_component:31.1,,31.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:31.1,,
GND,,6,edge:6:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:9.1,,
Resistor,,6,edge:6:diagram_to_component:22.1,,22.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:22.1,,
GND,,6,edge:6:diagram_to_component:9.2,,9.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:9.2,,
Resistor,,6,edge:6:diagram_to_component:22.2,,22.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:22.2,,
Operational_Amplifier,,6,edge:6:diagram_to_component:19.1,,19.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:19.1,,
Terminal,,6,edge:6:diagram_to_component:26.1,,26.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:26.1,,
Terminal,,6,edge:6:diagram_to_component:26.2,,26.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:26.2,,
Terminal,,6,edge:6:diagram_to_component:26.3,,26.3,,,,,,,,,,,HAS_COMPONENT,,,diagram:6,component:6:26.3,,
,,6,edge:6:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,diagram:6,net:6:N1,,
,,6,edge:6:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,diagram:6,net:6:N2,,
,,6,edge:6:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,diagram:6,net:6:N3,,
,,6,edge:6:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,diagram:6,net:6:N4,,
,,6,edge:6:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,diagram:6,net:6:N5,,
,,6,edge:6:diagram_to_net:N6,,,False,,,,,,N6,,6,,HAS_NET,,,diagram:6,net:6:N6,,
,,6,edge:6:diagram_to_net:N7,,,False,,,,,,N7,,7,,HAS_NET,,,diagram:6,net:6:N7,,
,,6,edge:6:component:31.1:terminal:31.1:t1,,31.1,,,,,,,,,,,HAS_TERMINAL,top,,component:6:31.1,terminal:6:31.1:t1,31.1:t1,t1
,,6,edge:6:component:31.1:terminal:31.1:t2,,31.1,,,,,,,,,,,HAS_TERMINAL,bottom,,component:6:31.1,terminal:6:31.1:t2,31.1:t2,t2
,,6,edge:6:component:9.1:terminal:9.1:t1,,9.1,,,,,,,,,,,HAS_TERMINAL,top,,component:6:9.1,terminal:6:9.1:t1,9.1:t1,t1
,,6,edge:6:component:22.1:terminal:22.1:t1,,22.1,,,,,,,,,,,HAS_TERMINAL,left,,component:6:22.1,terminal:6:22.1:t1,22.1:t1,t1
,,6,edge:6:component:22.1:terminal:22.1:t2,,22.1,,,,,,,,,,,HAS_TERMINAL,right,,component:6:22.1,terminal:6:22.1:t2,22.1:t2,t2
,,6,edge:6:component:9.2:terminal:9.2:t1,,9.2,,,,,,,,,,,HAS_TERMINAL,top,,component:6:9.2,terminal:6:9.2:t1,9.2:t1,t1
