bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,3,,,1024,3.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v6_operational_amplifier\3.jpg,1024,,,,,,3,,,,,,,,,,12,,22,9,,22,,,diagram:3,Diagram,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
13.87,59.82,945.02,1002.06,9,GND,,,,0.8042,,3,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:3:9.1,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
91.61,158.02,687.28,893.9,18,NPN_Transistor,,,,0.7856,,3,,left,,,,,,,18.1,,,18.1,,,,,,,,,,,,,,3,,,,component:3:18.1,Component,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
122.89,167.7,106.32,236.23,22,Resistor,,,,0.8177,,3,,vertical,,,,,,,22.1,,,22.1,,,,,,,,,,,,,,2,,,,component:3:22.1,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
123.69,167.47,431.37,567.96,22,Resistor,,,,0.8381,,3,,vertical,,,,,,,22.2,,,22.2,,,,,,,,,,,,,,2,,,,component:3:22.2,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
123.46,170.25,942.52,1002.57,9,GND,,,,0.8111,,3,top,up,,,,,,,9.2,,,9.2,,,,,,,,,,,,,,1,,,,component:3:9.2,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
466.55,510.61,106.94,234.05,22,Resistor,,,,0.8337,,3,,vertical,,,,,,,22.3,,,22.3,,,,,,,,,,,,,,2,,,,component:3:22.3,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
466.75,513.77,941.6,1002.92,9,GND,,,,0.8139,,3,top,up,,,,,,,9.3,,,9.3,,,,,,,,,,,,,,1,,,,component:3:9.3,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
478.84,547.57,683.39,894.26,18,NPN_Transistor,,,,0.8065,,3,,right,,,,,,,18.2,,,18.2,,,,,,,,,,,,,,3,,,,component:3:18.2,Component,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
576.35,623.39,944.17,1002.82,9,GND,,,,0.8054,,3,top,up,,,,,,,9.4,,,9.4,,,,,,,,,,,,,,1,,,,component:3:9.4,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
569.47,696.14,253.26,368.07,31,Voltage_Source,,,,0.8415,,3,,horizontal,,,,,,,31.1,,,31.1,,,,,,,,,,,,,,2,,,,component:3:31.1,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
739.11,919.58,242.41,570.86,19,Operational_Amplifier,,,,0.8604,,3,,right,,,,,,,19.1,,,19.1,,,,,,,,,,,,,,3,,,,component:3:19.1,Component,,,,,,,,,,,,,,multi_terminal,,,,,True,True,,
951.23,997.18,944.86,1002.42,9,GND,,,,0.8277,,3,top,up,,,,,,,9.5,,,9.5,,,,,,,,,,,,,,1,,,,component:3:9.5,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
,,,,,,9,GND,component:3:9.1,,,3,top,up,,,,,,,9.1,,False,9.1:t1,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:3:9.1:t1,Terminal,,,False,N1,1,top,directional,directional_primary,"[30, 923, 43, 947]",36,941,,,,9.1:t1,t1,"{""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 18, ""scan_end"": 56, ""scan_margin"": 4, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 36, ""anchor_offset_ratio"": 0.4783, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 14, ""selected_run_end"": 22, ""selected_run_length"": 9, ""selected_run_score"": 70}",two_terminal_side_peak,,,36.0,941.0
,,,,,,18,NPN_Transistor,component:3:18.1,,,3,,left,,,,,,,18.1,,False,18.1:t1,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:3:18.1:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[70, 779, 94, 792]",88,785,,,,18.1:t1,t1,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""left"", ""scan_start"": 739, ""scan_end"": 842, ""scan_margin"": 17, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 785, ""anchor_offset_ratio"": 0.4734, ""max_score"": 112, ""keep_threshold"": 95, ""selected_run_start"": 43, ""selected_run_end"": 50, ""selected_run_length"": 8, ""selected_run_score"": 112, ""three_terminal_role"": ""single_side_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,88.0,785.0
