class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Current_Source,,2,edge:2:diagram_to_component:6.1,6.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:6.1,,
Current_Source,,2,edge:2:diagram_to_component:6.2,6.2,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:6.2,,
Resistor,,2,edge:2:diagram_to_component:22.1,22.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:22.1,,
NPN_Transistor,,2,edge:2:diagram_to_component:18.1,18.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:18.1,,
Resistor,,2,edge:2:diagram_to_component:22.2,22.2,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:22.2,,
NPN_Transistor,,2,edge:2:diagram_to_component:18.2,18.2,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:18.2,,
Battery,,2,edge:2:diagram_to_component:2.1,2.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:2.1,,
,,2,edge:2:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:2,net:2:N1,,
,,2,edge:2:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:2,net:2:N2,,
,,2,edge:2:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:2,net:2:N3,,
,,2,edge:2:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:2,net:2:N4,,
,,2,edge:2:component:6.1:terminal:6.1:t1,6.1,,,,,,,,HAS_TERMINAL,top,,component:2:6.1,terminal:2:6.1:t1,6.1:t1,t1
,,2,edge:2:component:6.1:terminal:6.1:t2,6.1,,,,,,,,HAS_TERMINAL,bottom,,component:2:6.1,terminal:2:6.1:t2,6.1:t2,t2
,,2,edge:2:component:6.2:terminal:6.2:t1,6.2,,,,,,,,HAS_TERMINAL,top,,component:2:6.2,terminal:2:6.2:t1,6.2:t1,t1
,,2,edge:2:component:6.2:terminal:6.2:t2,6.2,,,,,,,,HAS_TERMINAL,bottom,,component:2:6.2,terminal:2:6.2:t2,6.2:t2,t2
,,2,edge:2:component:22.1:terminal:22.1:t1,22.1,,,,,,,,HAS_TERMINAL,top,,component:2:22.1,terminal:2:22.1:t1,22.1:t1,t1
,,2,edge:2:component:22.1:terminal:22.1:t2,22.1,,,,,,,,HAS_TERMINAL,bottom,,component:2:22.1,terminal:2:22.1:t2,22.1:t2,t2
,,2,edge:2:component:22.2:terminal:22.2:t1,22.2,,,,,,,,HAS_TERMINAL,top,,component:2:22.2,terminal:2:22.2:t1,22.2:t1,t1
,,2,edge:2:component:22.2:terminal:22.2:t2,22.2,,,,,,,,HAS_TERMINAL,bottom,,component:2:22.2,terminal:2:22.2:t2,22.2:t2,t2
,,2,edge:2:component:2.1:terminal:2.1:t1,2.1,,,,,,,,HAS_TERMINAL,top,,component:2:2.1,terminal:2:2.1:t1,2.1:t1,t1
,,2,edge:2:component:2.1:terminal:2.1:t2,2.1,,,,,,,,HAS_TERMINAL,bottom,,component:2:2.1,terminal:2:2.1:t2,2.1:t2,t2
,Current_Source,2,edge:2:terminal:6.1:t1:net:N2,,False,high,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[66, 380]",terminal:2:6.1:t1,net:2:N2,6.1:t1,
,Current_Source,2,edge:2:terminal:6.1:t2:net:N1,,False,high,1.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[66, 497]",terminal:2:6.1:t2,net:2:N1,6.1:t2,
,Current_Source,2,edge:2:terminal:6.2:t1:net:N2,,False,high,0.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[327, 378]",terminal:2:6.2:t1,net:2:N2,6.2:t1,
,Current_Source,2,edge:2:terminal:6.2:t2:net:N1,,False,high,0.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[327, 497]",terminal:2:6.2:t2,net:2:N1,6.2:t2,
,Resistor,2,edge:2:terminal:22.1:t1:net:N1,,False,high,1.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[536, 726]",terminal:2:22.1:t1,net:2:N1,22.1:t1,
,Resistor,2,edge:2:terminal:22.1:t2:net:N3,,False,high,1.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[536, 862]",terminal:2:22.1:t2,net:2:N3,22.1:t2,
,Resistor,2,edge:2:terminal:22.2:t1:net:N1,,False,high,0.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[746, 724]",terminal:2:22.2:t1,net:2:N1,22.2:t1,
,Resistor,2,edge:2:terminal:22.2:t2:net:N3,,False,high,0.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[746, 864]",terminal:2:22.2:t2,net:2:N3,22.2:t2,
,Battery,2,edge:2:terminal:2.1:t1:net:N4,,False,high,3.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[955, 574]",terminal:2:2.1:t1,net:2:N4,2.1:t1,
,Battery,2,edge:2:terminal:2.1:t2:net:N3,,False,high,3.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[955, 696]",terminal:2:2.1:t2,net:2:N3,2.1:t2,
