time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
0.0,4.43177765,0.501330851,0.0417536562,11.9931729,12.0,10.726096,8.69210518,5.38425747,9.18720658,2.92064696,0.000162301397
5e-07,4.44392704,0.501407537,0.041762112,11.9931729,12.0,10.7260958,8.69311334,5.38627377,9.1873274,2.92053961,0.000162336587
1e-06,4.45602778,0.501470498,0.0417705678,11.9931729,12.0,10.7260957,8.69412118,5.38828945,9.18744821,2.92043227,0.000162335512
2e-06,4.48013248,0.501574474,0.0417874792,11.9931729,12.0,10.7260957,8.69613627,5.39231959,9.18768982,2.92021758,0.000162333723
4e-06,4.52776665,0.501694992,0.0418213019,11.9931729,12.0,10.7260957,8.70016276,5.40037251,9.188173,2.91978825,0.000162330409
8e-06,4.62078779,0.501805344,0.0418889463,11.9931729,12.0,10.7260957,8.70820102,5.41644891,9.1891391,2.91892975,0.000162327647
1.6e-05,4.79829152,0.5019398,0.0420242331,11.9931729,12.0,10.7260957,8.72421889,5.44848439,9.19107022,2.91721329,0.000162325559
3.13493887e-05,5.10977316,0.502198283,0.0422837975,11.9931729,12.0,10.7260957,8.75473421,5.50951454,9.1947717,2.91392224,0.000162321774
6.20481661e-05,5.63603797,0.502715053,0.0428029008,11.9931729,12.0,10.7260957,8.81491605,5.62987729,9.20215983,2.90734896,0.000162314208
7.43129304e-05,5.81411016,0.502921548,0.0430102835,11.9931729,12.0,10.7260957,8.83864595,5.67733702,9.20510807,2.90472816,0.000162311186
8.13143316e-05,5.90888347,0.503039397,0.0431286668,11.9931729,12.0,10.7260957,8.85211304,5.70427082,9.20678694,2.90323017,0.000162309459
8.5729923e-05,5.96642472,0.50311373,0.043203327,11.9931729,12.0,10.7260957,8.86057685,5.7211982,9.20784577,2.90228628,0.000162308372
9.19658954e-05,6.04476449,0.503218703,0.0433087658,11.9931729,12.0,10.7260957,8.87249116,5.74502663,9.20934105,2.90095431,0.000162306834
9.98987656e-05,6.13963986,0.503352239,0.0434428942,11.9931729,12.0,10.7260957,8.88758222,5.7752085,9.21124208,2.89926063,0.00016230488
0.000115764506,6.31462558,0.503619306,0.043711145,11.9931729,12.0,10.7260957,8.91754636,5.83513635,9.21504043,2.89587585,0.000162300969
0.000147495987,6.61354804,0.504153417,0.0442476237,11.9931729,12.0,10.7260957,8.97661329,5.95326934,9.22262201,2.8891163,0.00016229315
0.000197495987,6.97552701,0.504994967,0.0450929053,11.9931729,12.0,10.7260957,9.06740185,6.13484511,9.23452651,2.87849108,0.000162280829
0.000247495987,7.23841707,0.505836447,0.0459381167,11.9931729,12.0,10.7260957,9.15546397,6.310968,9.24637688,2.86789463,0.00016226851
0.000297495987,7.43181762,0.506677859,0.0467832604,11.9931729,12.0,10.7260957,9.24088166,6.48180207,9.25817576,2.85732936,0.00016225619
0.000347495987,7.57497281,0.507519205,0.0476283379,11.9931729,12.0,10.7260957,9.32373436,6.64750622,9.26992339,2.84679525,0.000162243873
0.000397495987,7.68142631,0.508360486,0.0484733505,11.9931729,12.0,10.7260957,9.40409911,6.80823449,9.28161999,2.83629229,0.000162231556
0.000447495987,7.76086148,0.509201703,0.0493182989,11.9931729,12.0,10.7260957,9.4820506,6.96413631,9.29326579,2.82582046,0.00016221924
0.000497495987,7.82028941,0.510042856,0.0501631838,11.9931729,12.0,10.7260957,9.55766131,7.11535661,9.30486102,2.81537976,0.000162206925
0.000547495987,7.86483585,0.510883946,0.0510080055,11.9931729,12.0,10.7260957,9.63100153,7.26203596,9.31640591,2.80497015,0.000162194611
0.000597495987,7.89827616,0.511724973,0.0518527645,11.9931729,12.0,10.7260957,9.70213944,7.40431073,9.32790067,2.79459163,0.000162182297
0.000647495987,7.92340689,0.512565938,0.0526974609,11.9931729,12.0,10.7260957,9.77114117,7.54231317,9.33934554,2.78424417,0.000162169986
0.000697495987,7.94230852,0.513406841,0.053542095,11.9931729,12.0,10.7260957,9.83807087,7.67617159,9.35074074,2.77392775,0.000162157674
0.000747495987,7.95653391,0.514247681,0.0543866668,11.9931729,12.0,10.7260957,9.90299076,7.80601041,9.36208648,2.76364237,0.000162145364
0.000797495987,7.96724498,0.515088459,0.0552311765,11.9931729,12.0,10.7260957,9.96596118,7.93195035,9.373383,2.75338798,0.000162133054
0.000847495987,7.97531278,0.515929175,0.0560756242,11.9931729,12.0,10.7260957,10.0270407,8.05410848,9.3846305,2.74316458,0.000162120746
0.000897495987,7.98139123,0.516769829,0.0569200098,11.9931729,12.0,10.7260957,10.0862861,8.17259836,9.39582922,2.73297213,0.000162108438
0.000947495987,7.98597179,0.517610421,0.0577643336,11.9931729,12.0,10.7260957,10.1437524,8.28753015,9.40697936,2.72281062,0.000162096132
0.000997495987,7.98942409,0.518450952,0.0586085954,11.9931729,12.0,10.7260957,10.199493,8.39901068,9.41808114,2.71268002,0.000162083825
0.00104749599,7.99202635,0.51929142,0.0594527954,11.9931729,12.0,10.7260957,10.2535599,8.50714361,9.42913478,2.7025803,0.000162071521
0.00109749599,7.99398803,0.520131826,0.0602969335,11.9931729,12.0,10.7260957,10.3060032,8.61202944,9.4401405,2.69251144,0.000162059216
0.00114749599,7.99546691,0.520972171,0.0611410097,11.9931729,12.0,10.7260957,10.3568716,8.7137657,9.4510985,2.68247341,0.000162046914
0.00119749599,7.99658187,0.521812454,0.0619850242,11.9931729,12.0,10.7260957,10.4062126,8.81244694,9.46200901,2.67246618,0.000162034611
0.00124749599,7.9974225,0.522652675,0.0628289768,11.9931729,12.0,10.7260957,10.4540719,8.90816492,9.47287222,2.66248972,0.00016202231
0.00129749599,7.99805631,0.523492834,0.0636728677,11.9931729,12.0,10.7260957,10.5004941,9.00100862,9.48368836,2.65254401,0.000162010009
0.00134749599,7.9985342,0.524332931,0.0645166968,11.9931729,12.0,10.7260957,10.5455223,9.09106434,9.49445763,2.64262901,0.000161997711
0.00139749599,7.99889452,0.525172967,0.065360464,11.9931729,12.0,10.7260957,10.5891983,9.17841581,9.50518024,2.6327447,0.000161985411
0.00144749599,7.99916621,0.526012941,0.0662041696,11.9931729,12.0,10.7260957,10.6315628,9.26314422,9.5158564,2.62289103,0.000161973114
0.00149749599,7.99937107,0.526852853,0.0670478133,11.9931729,12.0,10.7260957,10.6726552,9.34532836,9.52648632,2.61306798,0.000161960817
0.00154749599,7.99952554,0.527692703,0.0678913953,11.9931729,12.0,10.7260957,10.7125136,9.42504461,9.53707019,2.60327551,0.000161948522
0.00159749599,7.99964201,0.528532492,0.0687349155,11.9931729,12.0,10.7260957,10.7511751,9.50236709,9.54760823,2.5935136,0.000161936226
0.00164749599,7.99972983,0.529372219,0.069578374,11.9931729,12.0,10.7260957,10.7886756,9.57736768,9.55810064,2.58378219,0.000161923933
0.00169749599,7.99979605,0.530211884,0.0704217707,11.9931729,12.0,10.7260957,10.8250501,9.6501161,9.56854763,2.57408127,0.000161911639
0.00174749599,7.99984599,0.531051487,0.0712651057,11.9931729,12.0,10.7260957,10.8603323,9.72067998,9.57894938,2.5644108,0.000161899348
0.00179749599,7.99988364,0.531891028,0.072108379,11.9931729,12.0,10.7260957,10.894555,9.78912491,9.58930612,2.55477073,0.000161887055
