time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
0.0,0.378930123,0.0581162788,9.0,4.68946142,8.52024254,0.708287249,0.00781195529
5e-08,0.379145644,0.0581347861,9.0,4.68956916,8.52024994,0.708287274,0.00781196266
1e-07,0.379361159,0.0581532934,9.0,4.68967691,8.52024994,0.708287274,0.00781196266
2e-07,0.379792179,0.0581903078,9.0,4.68989242,8.52024994,0.708287274,0.00781196266
4e-07,0.380654154,0.0582643357,9.0,4.69032341,8.52024994,0.708287274,0.00781196266
8e-07,0.382377846,0.0584123878,9.0,4.69118526,8.52024994,0.708287274,0.00781196266
1.6e-06,0.385824195,0.0587084772,9.0,4.69290844,8.52024994,0.708287274,0.00781196266
3.2e-06,0.392712759,0.0593005968,9.0,4.69635272,8.52024994,0.708287274,0.00781196266
6.4e-06,0.406473369,0.0604845996,9.0,4.70323303,8.52024994,0.708287274,0.00781196266
1.14e-05,0.427930299,0.062333973,9.0,4.71396151,8.52024994,0.708287274,0.00781196266
1.64e-05,0.449333654,0.0641825774,9.0,4.7246632,8.52024994,0.708287274,0.00781196266
2.14e-05,0.470683567,0.0660304131,9.0,4.73533817,8.52024994,0.708287274,0.00781196266
2.64e-05,0.491980171,0.0678774807,9.0,4.74598648,8.52024994,0.708287274,0.00781196266
3.14e-05,0.513223598,0.0697237807,9.0,4.75660821,8.52024994,0.708287274,0.00781196266
3.64e-05,0.534413981,0.0715693134,9.0,4.76720341,8.52024994,0.708287274,0.00781196266
3.86242458e-05,0.543823489,0.0723900507,9.0,4.77190817,8.52024994,0.708287274,0.00781196266
3.9397912e-05,0.545274803,0.0726754946,9.0,0.0689842686,0.00420807525,0.00420807524,5.97484479e-15
3.96483763e-05,0.545155037,0.0727678995,9.0,0.0650854623,-0.00415380646,-0.00415380645,-5.63744722e-15
3.97293962e-05,0.545116295,0.07279779,9.0,0.0688317585,0.00403298187,0.00403298186,5.7203649e-15
3.973497e-05,0.545113633,0.0727998464,9.0,0.0663874395,-0.00259695676,-0.00259695675,-3.55224284e-15
3.97377872e-05,0.545112285,0.0728008857,9.0,0.0667483725,0.001323377,0.001323377,1.8483418e-15
3.97381392e-05,0.545112117,0.0728010156,9.0,0.067266203,0.000113424766,0.000113424766,1.57373807e-16
3.97384225e-05,0.545111982,0.0728011201,9.0,0.0671332664,0.000123322888,0.000123322887,1.71116335e-16
3.97387772e-05,0.545111812,0.072801251,9.0,0.0671028575,9.06523845e-05,9.06523843e-05,1.25762271e-16
3.97391986e-05,0.545111611,0.0728014064,9.0,0.0670668147,5.56323902e-05,5.56323901e-05,7.71643603e-17
3.97397294e-05,0.545111357,0.0728016023,9.0,0.0670437855,3.13472916e-05,3.13472915e-05,4.34742568e-17
