circuit,input_type,N,total_score_mean,total_score_median,total_score_std,normalized_score_mean,normalized_score_median,normalized_score_std,major_errors_n_mean,major_errors_n_median,major_errors_n_std,hallucinations_n_mean,hallucinations_n_median,hallucinations_n_std,model_latency_seconds_mean,model_latency_seconds_median,model_latency_seconds_std,model_input_tokens_mean,model_input_tokens_median,model_input_tokens_std,model_output_tokens_mean,model_output_tokens_median,model_output_tokens_std,model_total_tokens_mean,model_total_tokens_median,model_total_tokens_std,model_cost_usd_mean,model_cost_usd_median,model_cost_usd_std,judge_latency_seconds_mean,judge_latency_seconds_median,judge_latency_seconds_std,judge_total_tokens_mean,judge_total_tokens_median,judge_total_tokens_std,judge_cost_usd_mean,judge_cost_usd_median,judge_cost_usd_std,top1_correct_rate,top3_contains_correct_rate,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
ic11,JSON + datasheet,8,13.875,15.0,3.1,0.661,0.714,0.148,3.25,3.0,0.968,2.5,2.0,0.707,30.37,24.54,16.07,5473.375,5473.0,0.484,2491.0,2574.5,919.951,7964.375,8047.5,919.533,0.012784,0.004946,0.020219,32.0,32.14,1.84,10945.75,11003.5,682.331,0.093454,0.093238,0.005027,0.625,1.0,2.25,2.125,1.75,1.75,1.625,2.75,1.625
ic11,JSON + immagine + datasheet,8,15.125,13.0,3.48,0.72,0.619,0.166,2.5,3.0,1.581,2.375,2.5,1.111,30.84,24.86,14.78,10072.125,6937.5,7942.269,2437.875,2486.0,950.062,12510.0,9489.5,7434.284,0.015023,0.005546,0.024131,32.41,32.19,5.94,10897.625,10867.0,612.342,0.09341,0.092545,0.00648,0.625,1.0,2.375,2.375,2.0,2.25,1.75,2.875,1.5
ic13,JSON + datasheet,8,18.0,20.0,2.958,0.857,0.952,0.141,1.0,0.0,1.323,2.0,2.0,0.707,30.69,24.43,14.77,5081.375,5081.0,0.484,2368.75,2443.0,844.967,7450.125,7524.0,844.567,0.011112,0.004932,0.016777,20.42,21.13,2.67,9933.625,9837.0,595.27,0.075753,0.073838,0.004952,0.75,1.0,2.75,2.75,2.5,2.75,2.5,2.875,1.875
ic13,JSON + immagine + datasheet,8,17.875,18.5,2.147,0.851,0.881,0.102,1.5,2.0,1.0,2.0,2.0,0.866,25.44,21.5,13.03,9680.125,6545.5,7942.269,2344.75,2144.5,1010.594,12024.875,9082.5,7437.354,0.013168,0.005531,0.020137,23.98,23.63,4.49,10241.0,10340.5,841.498,0.081905,0.080313,0.007261,0.5,1.0,3.0,2.625,2.375,2.5,2.25,3.0,2.125
ic15,JSON + datasheet,8,13.0,10.0,5.22,0.619,0.476,0.249,3.125,4.0,2.027,2.625,2.5,1.111,36.54,36.23,12.3,10872.375,10872.0,0.484,2708.125,3135.5,948.03,13580.5,14007.5,947.581,0.01631,0.007069,0.024482,26.15,25.97,4.75,16270.5,16261.5,728.136,0.118027,0.11622,0.00896,0.375,0.5,2.375,2.125,1.75,1.75,1.25,2.375,1.375
ic15,JSON + immagine + datasheet,8,11.875,10.0,3.333,0.565,0.476,0.159,3.5,3.5,0.866,2.375,2.0,1.218,33.96,32.81,14.32,15471.125,12336.5,7942.269,2546.625,2495.0,1063.676,18017.75,15234.5,7366.642,0.016669,0.007008,0.024431,24.78,24.6,1.69,16315.75,16319.5,827.383,0.116919,0.11672,0.005846,0.0,0.375,2.375,2.25,1.25,1.25,0.75,2.375,1.625
ic2,JSON + datasheet,8,14.25,16.0,4.815,0.679,0.762,0.229,2.25,2.0,1.561,1.5,1.5,1.118,32.26,31.76,13.48,20117.375,20117.0,0.484,2468.75,2605.0,804.727,22586.125,22722.5,804.383,0.020075,0.009519,0.029765,25.78,27.09,4.95,25336.75,25522.5,652.299,0.160387,0.161752,0.007837,0.5,0.75,2.5,1.625,2.25,2.0,1.375,2.625,1.875
ic2,JSON + immagine + datasheet,8,15.625,15.0,3.998,0.744,0.714,0.19,2.0,2.5,1.658,1.875,2.0,1.452,33.09,31.89,11.9,24716.125,21581.5,7942.269,2313.125,2211.0,863.02,27029.25,24434.5,7491.2,0.020941,0.009464,0.030567,26.21,26.68,4.95,25141.125,25195.5,547.164,0.158659,0.159078,0.007073,0.625,0.75,2.625,2.0,2.125,2.375,1.875,2.75,1.875
ic3,JSON + datasheet,8,18.75,19.0,0.968,0.893,0.905,0.046,1.25,1.5,1.09,1.375,1.5,0.696,31.67,30.26,9.75,5702.375,5702.0,0.484,2426.625,2347.0,902.598,8129.0,8049.0,902.22,0.011798,0.004795,0.018348,22.76,23.74,2.41,10864.125,10657.0,703.937,0.086686,0.084648,0.00529,1.0,1.0,3.0,3.0,2.25,2.75,2.75,3.0,2.0
ic3,JSON + immagine + datasheet,8,19.125,19.0,1.536,0.911,0.905,0.073,0.625,0.0,0.857,1.5,1.5,1.414,31.88,29.54,12.76,10301.125,7166.5,7942.269,2288.5,2136.0,907.82,12589.625,9826.0,7475.176,0.013106,0.005488,0.020126,17.08,17.28,1.2,10548.375,10442.0,722.21,0.078001,0.077783,0.005039,0.875,1.0,3.0,3.0,2.25,2.75,2.75,3.0,2.375
ic7,JSON + datasheet,8,14.875,15.0,2.368,0.708,0.714,0.113,2.625,3.0,0.857,2.5,2.5,0.5,31.64,26.71,13.64,5196.375,5196.0,0.484,2518.875,2570.5,999.102,7715.25,7766.5,998.695,0.012858,0.004479,0.020385,28.19,25.93,4.89,10671.75,10507.5,825.966,0.093109,0.08871,0.008956,0.5,0.875,2.625,2.25,2.125,1.75,1.5,3.0,1.625
ic7,JSON + immagine + datasheet,8,17.0,17.0,1.732,0.81,0.81,0.082,2.0,2.0,0.866,2.0,2.0,0.866,27.15,22.38,12.15,9795.125,6660.5,7942.269,2286.0,2524.5,826.82,12081.125,9352.0,7540.876,0.013373,0.00507,0.020183,25.45,26.71,3.77,10343.75,10261.5,607.662,0.086809,0.087962,0.006019,0.625,0.875,3.0,2.75,2.25,2.375,1.625,3.0,2.0
ic8,JSON + datasheet,8,16.25,18.5,4.352,0.774,0.881,0.207,2.0,2.0,1.5,2.5,2.0,0.866,45.69,34.69,26.42,13279.375,13279.0,0.484,2664.5,2680.0,871.052,15943.875,15959.0,870.667,0.017604,0.007885,0.027239,25.15,24.55,1.92,18723.25,18773.5,518.744,0.129573,0.12892,0.004048,0.625,0.75,2.75,2.5,2.375,2.125,2.125,2.625,1.75
ic8,JSON + immagine + datasheet,8,13.75,13.0,4.023,0.655,0.619,0.192,2.625,3.0,1.576,2.625,2.5,0.696,34.55,31.75,12.53,17878.125,14743.5,7942.269,2782.125,3033.5,1005.761,20660.25,17821.0,7297.737,0.018482,0.007914,0.025603,24.46,24.57,2.96,18760.5,18583.5,690.688,0.129384,0.128495,0.005762,0.25,0.75,2.5,2.25,1.75,1.875,1.25,2.625,1.5
ic9,JSON + datasheet,8,16.375,16.0,2.497,0.78,0.762,0.119,1.875,2.0,1.364,1.75,2.0,0.968,28.23,22.64,14.17,6980.375,6980.0,0.484,2468.375,2718.5,907.955,9448.75,9698.5,907.522,0.013395,0.00512,0.020145,27.03,26.15,4.26,12126.75,12158.0,671.665,0.093493,0.090985,0.007496,0.75,1.0,2.625,2.5,2.375,2.125,1.75,3.0,2.0
ic9,JSON + immagine + datasheet,8,17.125,17.0,2.204,0.815,0.81,0.105,1.875,2.0,0.927,1.625,2.0,0.696,28.07,22.42,13.78,11578.125,8443.5,7942.269,2344.625,2425.5,1017.289,13922.75,11274.5,7403.373,0.015291,0.005595,0.024095,24.88,25.73,4.58,12056.5,12086.5,668.733,0.091686,0.091957,0.004702,1.0,1.0,2.75,2.625,2.0,2.625,2.125,3.0,2.0
