circuit,model,score_json,score_json_img,delta_score_img_minus_json,top1_json,top1_json_img,top3_json,top3_json_img,errors_json,errors_json_img,hallucinations_json,hallucinations_json_img,latency_json,latency_json_img,cost_json,cost_json_img
b03,gpt-4.1-mini,12.0,18.0,6.0,0,1,0,1,3,2,2,2,25.524,17.71,0.004614,0.0049076
b03,gpt-4.1-nano,14.0,11.0,-3.0,1,0,1,0,3,3,2,4,15.187,13.647,0.0010559,0.0012838
b03,gpt-4o-mini,10.0,10.0,0.0,0,0,0,0,4,4,3,3,14.092,15.731,0.00127005,0.0050637
b03,gpt-5-mini,20.0,17.0,-3.0,1,0,1,1,0,2,2,2,37.417,25.177,0.0073595,0.00612325
b03,gpt-5-nano,16.0,12.0,-4.0,1,0,1,1,3,3,3,3,25.842,23.881,0.0014555000000000002,0.001734
b03,gpt-5.4,17.0,19.0,2.0,1,1,1,1,2,2,2,2,55.681,52.476,0.071685,0.0637425
b03,gpt-5.4-mini,17.0,21.0,4.0,1,1,1,1,2,0,2,0,16.889,16.797,0.0124245,0.015428250000000001
b03,gpt-5.4-nano,13.0,12.0,-1.0,0,0,1,0,3,3,2,3,20.429,16.308,0.004836399999999999,0.0040711
b06,gpt-4.1-mini,18.0,12.0,-6.0,1,0,1,1,2,4,2,4,22.453,16.468,0.005232400000000001,0.005329200000000001
b06,gpt-4.1-nano,11.0,12.0,1.0,0,1,0,1,3,3,2,3,15.218,10.073,0.0011165,0.0013112000000000002
b06,gpt-4o-mini,14.0,16.0,2.0,0,1,0,1,3,2,2,2,16.765,23.057,0.00132435,0.0052223999999999994
b06,gpt-5-mini,16.0,20.0,4.0,0,1,1,1,2,0,2,2,31.309,45.081,0.006736000000000001,0.00693975
b06,gpt-5-nano,15.0,14.0,-1.0,1,1,1,1,3,3,4,3,30.14,19.65,0.0014924,0.0015229000000000002
b06,gpt-5.4,20.0,17.0,-3.0,1,0,1,0,0,3,2,0,38.066,52.143,0.051035,0.0667025
b06,gpt-5.4-mini,20.0,20.0,0.0,1,1,1,1,0,0,2,2,14.931,16.207,0.0127365,0.01424625
b06,gpt-5.4-nano,15.0,16.0,1.0,0,1,1,1,3,3,3,2,22.819,20.709,0.004565,0.0047797000000000004
c01,gpt-4.1-mini,17.0,16.0,-1.0,0,0,1,1,3,3,2,3,69.499,49.224,0.0046952,0.0050464
c01,gpt-4.1-nano,9.0,12.0,3.0,0,0,1,1,4,4,5,4,20.134,15.68,0.0011166000000000001,0.0012225
c01,gpt-4o-mini,10.0,10.0,0.0,0,0,1,0,4,3,3,2,17.333,20.392,0.0012771,0.005067149999999999
c01,gpt-5-mini,18.0,19.0,1.0,0,1,1,1,2,2,2,1,32.898,36.904,0.00698325,0.007571
c01,gpt-5-nano,8.0,9.0,1.0,0,0,1,1,4,5,6,6,21.954,19.055,0.0016218500000000002,0.00146075
c01,gpt-5.4,19.0,20.0,1.0,1,1,1,1,0,0,0,0,42.861,51.012,0.059942499999999996,0.06258999999999999
c01,gpt-5.4-mini,9.0,16.0,7.0,0,0,0,0,3,2,2,1,15.191,16.905,0.013361250000000002,0.014835
c01,gpt-5.4-nano,13.0,13.0,0.0,0,0,0,1,4,3,2,3,18.202,16.128,0.0044598500000000004,0.0039533
c02,gpt-4.1-mini,19.0,14.0,-5.0,1,1,1,1,0,3,3,3,40.283,19.568,0.004916,0.0054336
c02,gpt-4.1-nano,11.0,9.0,-2.0,0,0,1,1,3,4,2,4,13.598,11.592,0.0010582,0.0013997000000000002
c02,gpt-4o-mini,13.0,13.0,0.0,1,1,1,1,3,2,2,2,17.284,21.297,0.0013862999999999998,0.0051823500000000005
c02,gpt-5-mini,19.0,15.0,-4.0,1,1,1,1,0,2,2,2,41.051,35.904,0.00712125,0.007413
c02,gpt-5-nano,16.0,13.0,-3.0,0,1,1,1,2,3,3,3,25.451,21.396,0.00155385,0.0015723500000000001
c02,gpt-5.4,21.0,20.0,-1.0,1,1,1,1,0,0,0,2,38.836,65.807,0.050942499999999995,0.07291
c02,gpt-5.4-mini,19.0,17.0,-2.0,1,1,1,1,1,2,0,2,12.451,25.062,0.01193025,0.019956
c02,gpt-5.4-nano,19.0,14.0,-5.0,1,1,1,1,0,3,2,3,24.312,20.74,0.0052121,0.00472305
c05,gpt-4.1-mini,17.0,19.0,2.0,1,1,1,1,2,0,2,2,30.849,23.066,0.008407600000000001,0.008238800000000001
c05,gpt-4.1-nano,9.0,14.0,5.0,0,1,1,1,4,3,3,3,19.094,12.851,0.0017823000000000001,0.0019914
c05,gpt-4o-mini,12.0,11.0,-1.0,1,1,1,1,3,4,2,2,17.45,36.587,0.00229125,0.0061353
c05,gpt-5-mini,16.0,16.0,0.0,0,1,1,1,3,3,2,3,42.316,45.431,0.008531500000000001,0.01031525
c05,gpt-5-nano,11.0,10.0,-1.0,0,0,1,1,3,4,3,3,32.423,26.362,0.0017783,0.0020356000000000003
c05,gpt-5.4,19.0,21.0,2.0,1,1,1,1,1,0,0,0,45.197,59.05,0.07467,0.0849375
c05,gpt-5.4-mini,19.0,21.0,2.0,1,1,1,1,1,0,0,0,21.638,16.592,0.022004999999999997,0.01838025
c05,gpt-5.4-nano,12.0,13.0,1.0,0,1,1,1,3,4,3,3,22.729,14.374,0.00667505,0.0051660000000000005
c08,gpt-4.1-mini,11.0,12.0,1.0,0,0,0,0,4,3,4,3,27.498,25.007,0.007282,0.0081036
c08,gpt-4.1-nano,9.0,12.0,3.0,0,0,1,0,4,4,3,3,19.03,27.186,0.0016717,0.0018176000000000002
c08,gpt-4o-mini,11.0,12.0,1.0,0,0,0,1,3,4,2,2,17.059,19.138,0.00219615,0.005960399999999999
c08,gpt-5-mini,18.0,11.0,-7.0,1,0,1,1,2,4,2,2,39.217,39.686,0.009564,0.00957975
c08,gpt-5-nano,12.0,14.0,2.0,0,0,1,0,4,3,4,4,32.562,34.11,0.0019936,0.0020145000000000002
c08,gpt-5.4,17.0,20.0,3.0,1,1,1,1,2,0,0,2,54.257,54.768,0.07828,0.08176749999999999
c08,gpt-5.4-mini,11.0,16.0,5.0,0,1,0,1,3,2,2,2,20.698,23.441,0.0206265,0.02209575
c08,gpt-5.4-nano,17.0,15.0,-2.0,1,0,1,1,2,3,1,2,22.279,22.575,0.00609645,0.00592115
c13,gpt-4.1-mini,17.0,17.0,0.0,1,1,1,1,3,3,2,2,19.59,19.164,0.0053688,0.0057680000000000006
c13,gpt-4.1-nano,14.0,13.0,-1.0,0,0,0,1,3,3,3,3,11.739,18.69,0.0011842,0.0013881000000000002
c13,gpt-4o-mini,13.0,13.0,0.0,1,0,1,1,3,4,2,3,24.728,24.508,0.0015747,0.00538215
c13,gpt-5-mini,17.0,19.0,2.0,1,1,1,1,2,0,2,3,38.327,43.869,0.00796325,0.008207
c13,gpt-5-nano,15.0,15.0,0.0,0,0,1,1,3,3,3,3,30.994,31.211,0.0015830500000000001,0.0018855500000000002
c13,gpt-5.4,19.0,19.0,0.0,1,0,1,1,1,1,0,2,58.889,70.444,0.0731275,0.08161
c13,gpt-5.4-mini,20.0,19.0,-1.0,1,1,1,1,0,0,1,2,25.827,19.114,0.01690275,0.01722
c13,gpt-5.4-nano,16.0,13.0,-3.0,0,1,1,1,3,3,1,3,22.801,20.521,0.0050893,0.0049315
c17,gpt-4.1-mini,14.0,17.0,3.0,0,1,1,1,2,2,2,2,21.972,24.42,0.0043708,0.0045716
c17,gpt-4.1-nano,12.0,14.0,2.0,0,1,1,1,3,2,2,3,21.977,30.87,0.0009335000000000001,0.0012046000000000001
c17,gpt-4o-mini,13.0,14.0,1.0,0,1,1,1,3,3,1,3,42.169,19.236,0.00112605,0.0050757
c17,gpt-5-mini,18.0,20.0,2.0,1,1,1,1,1,0,1,0,27.61,46.954,0.0055425000000000006,0.00722625
c17,gpt-5-nano,14.0,17.0,3.0,0,1,1,1,3,2,3,2,31.448,25.732,0.0015125000000000002,0.001611
c17,gpt-5.4,15.0,20.0,5.0,0,1,1,1,2,0,1,1,48.778,58.473,0.060805,0.0679075
c17,gpt-5.4-mini,14.0,19.0,5.0,0,1,1,1,2,0,1,2,14.311,16.635,0.012657,0.012992249999999999
c17,gpt-5.4-nano,16.0,17.0,1.0,0,1,1,1,3,2,3,2,20.43,18.981,0.0043119,0.0045541
